Vial_ID,Cruise,Vessel,Haul,Sex,CW ,CH_CC,Crab_Wgt ,Hepato_WWT,Hepato_DWT
2019-1,201902,162,1,1,87.44,14.92,248.3,0.6304,0.1702
2019-10,201901,162,193,1,91.84,13.01,219.2,1.3592,0.3829
2019-11,201902,94,1,1,55.53,7.92,67.8,1.1139,0.2632
2019-13,201902,162,1,1,85.09,15.04,230.6,1.0088,0.1771
2019-14,201902,162,1,1,93.94,13.48,224.8,0.9917,0.2046
2019-147,201902,162,46,1,59.43,8.34,71.8,1.1738,0.3271
2019-148,201902,162,46,1,56.35,6.6,59.8,0.6835,0.1912
2019-149,201902,162,46,1,54.5,7.13,62.9,0.6489,0.2011
2019-15,201902,162,1,1,79.23,13.57,199.4,1.1415,0.2166
2019-151,201902,162,46,1,56.1,7.16,63.6,0.5707,0.1708
2019-154,201902,162,46,1,59.85,7.56,80.2,1.055,0.3942
2019-158,201901,94,133,1,84.01,12.75,204.8,1.4572,0.1373
2019-159,201901,94,133,1,78.61,11.71,168.2,1.4669,0.0811
2019-16,201902,162,1,1,80.69,14.25,208.7,0.9922,0.2586
2019-160,201901,94,133,1,84.69,11.99,211.7,1.4069,0.1135
2019-161,201901,94,133,1,80.02,11.85,193.5,0.8798,0.1296
2019-162,201901,94,133,1,83.66,12.29,188,0.5902,0.067
2019-163,201902,162,1,1,78.37,11.96,182.9,0.7455,0.1372
2019-164,201902,162,1,1,77.43,12.53,170.1,0.9133,0.1516
2019-165,201902,162,1,1,84.43,12.49,223.4,1.0083,0.2145
2019-166,201901,94,134,1,85.46,12.13,208.3,0.8845,0.068
2019-167,201901,94,134,1,96.18,14.49,294.3,1.037,0.1994
2019-168,201901,94,134,1,92.53,13.89,247.7,0.6161,0.0742
2019-169,201901,94,134,1,85.29,13.28,198.8,0.79,0.127
2019-170,201901,94,134,1,83.62,12.86,190.9,0.7841,0.1046
2019-175,201901,94,126,1,80.59,11.05,176.1,0.8755,0.1737
2019-176,201902,162,1,1,88.29,12.31,235.2,1.6996,0.2134
2019-177,201902,162,20,1,56.47,7.24,69.1,1.0054,0.2723
2019-178,201902,162,20,1,62.66,8.96,85.8,0.7301,0.193
2019-179,201902,162,20,1,66.29,11.23,116.2,1.0169,0.2774
2019-18,201901,94,159,1,81.02,12.73,181.2,0.9145,0.0666
2019-187,201902,162,1,1,83.49,12.11,211,0.6746,0.148
2019-188,201901,94,127,1,80.47,12.32,196.2,0.994,0.1952
2019-189,201901,94,127,1,82.24,11.11,201.9,2.0646,0.1585
2019-19,201901,94,159,1,82.32,13.07,209.8,0.9893,0.2721
2019-190,201901,94,127,1,94.11,14.06,291.8,0.7763,0.144
2019-191,201901,94,127,1,85.44,13.76,214.4,0.9807,0.2096
2019-192,201901,94,127,1,83.95,12.91,213.2,0.6669,0.114
2019-193,201901,94,120,1,84.88,12.43,216.9,0.5542,0.0715
2019-194,201901,94,120,1,87.76,12.5,237.8,0.6742,0.1077
2019-195,201901,94,120,1,93.1,14.07,297.4,0.9057,0.1388
2019-196,201901,94,120,1,86.29,13.78,222,0.6779,0.11
2019-197,201901,94,123,1,85.52,13.79,219,0.6689,0.092
2019-198,201901,94,123,1,82.5,13.05,212.1,1.0211,0.1487
2019-199,201901,94,123,1,85.05,12.63,167.5,0.7048,0.1111
2019-2,201902,162,1,1,78.57,11.38,170.6,0.6854,0.1509
2019-20,201901,94,159,1,82.18,12.92,202.3,0.9261,0.0909
2019-200,201901,94,123,1,97.48,13.63,266.4,0.8224,0.1929
2019-201,201901,94,123,1,91.61,13.85,271.6,1.1562,0.0723
2019-202,201901,94,132,1,83.1,13.84,179.4,0.683,0.0845
2019-203,201901,94,98,1,81.68,12.43,184.5,0.9734,0.1859
2019-204,201901,94,98,1,84.5,13.54,214.7,0.6913,0.0996
2019-205,201901,94,98,1,84.12,12.94,215.4,1.3343,0.2931
2019-206,201901,94,98,1,92.71,14.74,279.4,1.3803,0.2051
2019-207,201901,94,98,1,85.68,14.16,224.9,1.0687,0.4995
2019-208,201901,94,121,1,87.46,13.24,277.6,0.8844,0.1111
2019-209,201901,94,121,1,91.81,15.44,289.8,1.207,0.1523
2019-21,201901,94,159,1,80.68,13.36,184.8,1.0241,0.1056
2019-210,201901,94,121,1,84.23,12.94,217.8,1.0576,0.1359
2019-211,201901,94,121,1,88.26,14,243.5,0.6743,0.1919
2019-212,201901,94,121,1,90.62,13.83,267.7,2.1291,1.1981
2019-213,201901,94,119,1,90.67,14.5,269.6,1.1619,0.2136
2019-214,201901,94,119,1,84.33,11.97,180.6,1.1703,0.3014
2019-215,201901,94,119,1,82.83,12.25,191.1,0.9109,0.2287
2019-216,201901,94,119,1,84.02,11.85,197.7,1.0367,0.2309
2019-217,201901,94,122,1,95.86,14.05,235.8,0.9353,0.2264
2019-218,201901,94,122,1,90.82,14.98,264,1.5535,0.2224
2019-219,201901,94,122,1,81.06,12.38,202.1,2.0193,0.1964
2019-22,201901,94,159,1,86.37,13.97,230.1,1.59,0.1385
2019-220,201901,94,122,1,79.86,12.48,185.4,1.9955,0.1902
2019-221,201901,94,122,1,91.25,13.94,282,1.1216,0.1332
2019-222,201901,94,97,1,85.82,12.84,194.8,1.3251,0.0621
2019-223,201901,94,97,1,80.4,12.75,184,2.6589,0.1472
2019-224,201901,94,97,1,89.42,13.99,252.6,0.8055,0.126
2019-225,201901,94,97,1,82.47,12.43,149.7,0.8685,0.1604
2019-226,201901,162,162,1,83.01,13.02,197.7,1.1621,0.1783
2019-227,201901,162,60,1,92.4,12.98,325.8,1.8661,0.3858
2019-228,201901,162,127,1,84.9,14.29,250.8,1.2561,0.2233
2019-229,201901,162,114,1,84.81,13.2,218,1.9758,0.3006
2019-23,201901,94,159,1,85.96,14.03,235.4,0.9444,0.089
2019-230,201901,162,127,1,96.31,15.59,331.1,1.6127,0.312
2019-231,201901,162,127,1,85.12,14.8,235.5,1.2713,0.1973
2019-232,201901,162,127,1,87.07,13.04,250.7,1.9036,0.2107
2019-24,201901,94,158,1,80.18,12.79,184.2,1.1797,0.1215
2019-25,201902,94,1,1,70.77,10.17,126.9,1.0229,0.2416
